Job,salary($),salary_type,Base Salary,Bonus,Total Pay,Profit Sharing,Commission,Hourly Rate
"Product Support Specialist, Internet Services",14.0,hour,,$0 - $2k,$28k - $49k,,,$13 - $15
Professional Services Consultant,81312.0,year,$55k - $130k,$2k - $19k,$56k - $148k,$255 - $30k,,
Professional Services Engineer,81628.0,year,$56k - $124k,$2k - $15k,$56k - $138k,$0 - $3k,,
"Program Analyst, IT",82246.0,year,$61k - $86k,$0 - $4k,$64k - $89k,,,
Program Analyst (Unspecified Type),55300.0,year,$39k - $98k,,$42k - $92k,,,
"Program Manager, Computer Software",110106.0,year,$74k - $154k,$3k - $24k,$74k - $166k,$1k - $26k,,
"Program Manager, Database Development",85000.0,year,$71k - $146k,$0 - $5k,$71k - $171k,,,
"Program Manager, IT",118576.0,year,$76k - $157k,$3k - $23k,$79k - $170k,$2k - $29k,,
"Program Manager, Localization",100575.0,year,$66k - $136k,$1k - $18k,$53k - $141k,$0 - $8k,,
Programmer Analyst,70044.0,year,$51k - $100k,$582 - $10k,$50k - $103k,$499 - $18k,,
"Project Controller, Information Technology (IT)",78850.0,year,$61k - $136k,$1k - $9k,$46k - $138k,,,
"Project Coordinator, Information Technology (IT)",59986.0,year,$44k - $84k,$508 - $8k,$42k - $83k,$550 - $14k,$0 - $6k,
"Project Director, Information Technology (IT)",130156.0,year,$78k - $169k,$3k - $30k,$76k - $182k,$3k - $5k,,
"Project Engineer, IT",71139.0,year,$60k - $143k,$2k - $15k,$60k - $149k,,,
"Project Leader, IT",96993.0,year,$64k - $141k,$1k - $20k,$53k - $148k,$104 - $13k,,
"Project Management Director, IT",147320.0,year,$94k - $185k,$75 - $35k,$92k - $203k,$12k - $21k,,
Project Management Office (PMO) Manager,119697.0,year,$82k - $160k,$3k - $25k,$84k - $175k,$2k - $15k,,
Project Management Specialist,76153.0,year,$54k - $123k,$1k - $12k,$50k - $123k,$2k - $5k,$0 - $1k,
"Project Manager, Information Technology (IT)",91478.0,year,$60k - $133k,$1k - $16k,$59k - $141k,$970 - $14k,$2k - $16k,
"Project Manager, Network Operations",76548.0,year,$44k - $123k,$5k - $10k,$45k - $122k,$0 - $750,,
"Project Manager, Software Development",92840.0,year,$62k - $136k,$2k - $15k,$60k - $142k,$1k - $14k,,
"Project Manager, Web",70099.0,year,$45k - $100k,$488 - $8k,$43k - $103k,$1k - $17k,$0 - $928,
Public Key Infrastructure (PKI) Specialist,99839.0,year,$90k - $105k,,$53k - $133k,,,
Quality Assurance Analyst,61042.0,year,$45k - $87k,$540 - $7k,$39k - $87k,$517 - $9k,,
"Quality Assurance Analyst, IT",58833.0,year,$43k - $104k,$278 - $13k,$45k - $111k,,,
"Quality Assurance Director, Computer Software",130232.0,year,$123k - $155k,$8k - $30k,$130k - $177k,,,
"Quality Assurance Manager, Computer Software",100864.0,year,$68k - $150k,$1k - $14k,$69k - $156k,$0 - $7k,,
"Quality Assurance Manager, IT",108077.0,year,$69k - $135k,$9k - $15k,$65k - $153k,$0 - $4k,,
Quality Assurance (QA) Engineer,75560.0,year,$57k - $104k,$1k - $10k,$54k - $107k,$598 - $9k,$0 - $1k,
Quality Assurance (QA) / Test Automation Engineer,76847.0,year,$55k - $103k,$979 - $11k,$55k - $108k,$339 - $16k,,
Release Engineer,87975.0,year,$66k - $123k,$1k - $12k,$66k - $127k,$1k - $25k,,
Remedy Developer,121725.0,year,$0 - $122k,,$0 - $119k,,,
"Research Analyst, Operations",82551.0,year,$51k - $119k,$500 - $14k,$51k - $121k,$0 - $1k,,
"Research & Development (R%26D) Manager, Computer Software",120000.0,year,$93k - $168k,$0 - $25k,$107k - $192k,$0 - $12k,,
Ruby Software Developer / Programmer,84767.0,year,$62k - $115k,$2k - $16k,$58k - $118k,$0 - $2k,,
SAP ABAP Programmer,100519.0,year,$55k - $135k,$2k - $20k,$59k - $153k,$0 - $22k,,
SAP Basis Administrator,94900.0,year,$60k - $153k,$805 - $20k,$56k - $158k,$426 - $5k,,
SAP Business Intelligence Consultant,90500.0,year,$60k - $138k,$5k - $25k,$62k - $155k,,,
SAP Consultant,97762.0,year,$61k - $145k,$2k - $22k,$63k - $173k,$981 - $26k,$0 - $15k,
SAP Data Analyst,71807.0,year,$48k - $102k,$5k - $10k,$45k - $100k,$0 - $4k,,
SAS Programmer,86152.0,year,$62k - $129k,$1k - $12k,$63k - $138k,$1k - $11k,,
SAS Programming Supervisor,103000.0,year,$0 - $103k,$0 - $16k,$0 - $113k,,,
SCADA Programmer,79112.0,year,$54k - $137k,$2k - $21k,$45k - $132k,,,
SQL Developer,80525.0,year,$56k - $114k,$1k - $11k,$53k - $119k,$197 - $8k,,
Salesforce Administrator,73534.0,year,$52k - $104k,$1k - $12k,$51k - $108k,$505 - $11k,$5k - $22k,
Satellite Systems Engineer,89308.0,year,$63k - $174k,$1k - $14k,$64k - $165k,,,
ScrumMaster,93597.0,year,$66k - $130k,$2k - $17k,$66k - $140k,$194 - $10k,,
Search Engine Marketing (SEM) Analyst,52724.0,year,$42k - $76k,$206 - $12k,$42k - $79k,$0 - $2k,,
Search Engine Marketing (SEM) Strategist,59166.0,year,$49k - $93k,$2k - $13k,$50k - $97k,$0 - $5k,,
Search Engine Optimization (SEO) Account Manager,58750.0,year,$42k - $64k,$0 - $2k,$37k - $79k,,,
Search Engine Optimization (SEO) Analyst,54077.0,year,$41k - $76k,$685 - $7k,$38k - $76k,$1k - $4k,,
Search Engine Optimization (SEO) Director,97221.0,year,$68k - $147k,$1k - $29k,$66k - $149k,,,
Search Engine Optimization (SEO) Expert,66250.0,year,$0 - $66k,$0 - $8k,$37k - $81k,,,
Search Engine Optimization (SEO) Lead,74865.0,year,$41k - $122k,$0 - $13k,$42k - $121k,,,
Search Engine Optimization (SEO) Marketing Strategist,64069.0,year,$43k - $89k,$964 - $11k,$39k - $88k,$0 - $2k,,
Search Engine Optimization (SEO) Professional,41446.0,year,$0 - $41k,,$0 - $43k,,,
Search Engine Optimization (SEO) Specialist,50761.0,year,$39k - $72k,$297 - $6k,$36k - $71k,$250 - $7k,,
Search Marketing Analyst,58400.0,year,$52k - $70k,$0 - $700,$52k - $70k,,,
Secretary of the Board,70500.0,year,$43k - $97k,$0 - $5k,$38k - $99k,,,
"Security Administrator, Computer Network",71343.0,year,$50k - $88k,$0 - $5k,$37k - $87k,,,
"Security Administrator, IT",69298.0,year,$50k - $98k,$1k - $10k,$48k - $97k,$541 - $6k,,
"Security Architect, IT",136814.0,year,$92k - $184k,$4k - $36k,$94k - $208k,$3k - $26k,$0 - $28k,
"Security Consultant, (Computing / Networking / Information Technology)",93348.0,year,$66k - $149k,$2k - $21k,$64k - $167k,$1k - $25k,,
"Security Consultant, IT",87156.0,year,$67k - $139k,$2k - $16k,$68k - $142k,$1k - $2k,,
"Security Director, Computing / Networking / Information Technology",158132.0,year,$101k - $183k,$3k - $32k,$101k - $210k,$0 - $15k,,
Security Engineer,99220.0,year,$68k - $145k,$2k - $20k,$67k - $154k,$2k - $31k,$4k - $10k,
"Security Engineer, Information Systems",106189.0,year,$69k - $150k,$551 - $15k,$69k - $153k,$3k - $9k,,
Senior Actuarial Associate,96945.0,year,$87k - $128k,$4k - $15k,$88k - $139k,$0 - $4k,,
Senior Actuary,107800.0,year,$68k - $135k,$3k - $16k,$68k - $149k,$0 - $2k,,
Senior Application Developer,102900.0,year,$77k - $133k,$2k - $18k,$79k - $140k,$986 - $10k,,
Senior Applications Engineer,101014.0,year,$78k - $132k,$2k - $15k,$80k - $138k,$502 - $16k,$0 - $10k,
Senior Associate Data Scientist,95000.0,year,$0 - $95k,$0 - $9k,$0 - $103k,,,
Senior Biostatistician,119563.0,year,$85k - $144k,$3k - $20k,$85k - $158k,$116 - $7k,,
Senior Business Intelligence (BI) Analyst,95393.0,year,$74k - $124k,$2k - $15k,$77k - $130k,$979 - $15k,,
Senior Business Systems Analyst,98436.0,year,$77k - $130k,$3k - $15k,$78k - $137k,$879 - $14k,,
Senior Clinical Data Analyst,91877.0,year,$64k - $109k,$403 - $18k,$64k - $118k,,,
Senior Clinical Data Associate,96429.0,year,$54k - $130k,$9k - $10k,$56k - $132k,$0 - $20k,,
Senior Clinical Data Coordinator,77263.0,year,$63k - $86k,$0 - $2k,$65k - $86k,,,
Senior Clinical Data Manager,107819.0,year,$80k - $140k,$2k - $18k,$82k - $151k,$3k - $10k,,
Senior Cloud Software Engineer,138010.0,year,$102k - $182k,$2k - $99k,$106k - $240k,$0 - $13k,,
Senior Cloud Solutions Architect,170438.0,year,$117k - $210k,$5k - $50k,$117k - $251k,,,
Senior Cloud Solutions Engineer,122271.0,year,$84k - $167k,$2k - $29k,$85k - $213k,,,
Senior Computer Scientist,156718.0,year,$102k - $196k,$1k - $18k,$102k - $205k,$0 - $20k,,
Senior Computer Specialist,80363.0,year,$43k - $139k,$0 - $9k,$42k - $149k,,,
Senior Computer Technician,20.0,hour,,$786 - $3k,$37k - $72k,,,$16 - $34
Senior Data Engineer,127434.0,year,$99k - $160k,$5k - $23k,$102k - $171k,$2k - $17k,,
Senior Data Quality Analyst,88436.0,year,$66k - $118k,$2k - $17k,$60k - $125k,,,
Senior Data Scientist,130753.0,year,$99k - $165k,$5k - $22k,$103k - $177k,$2k - $25k,,
Senior Database Administrator (DBA),115639.0,year,$85k - $146k,$2k - $19k,$86k - $155k,$988 - $10k,,
Senior Database Developer,104198.0,year,$80k - $129k,$566 - $12k,$82k - $138k,$4k - $9k,,
Senior Database Engineer,127038.0,year,$96k - $163k,$4k - $17k,$97k - $175k,$1k - $9k,,
Senior Development Operations (DevOps) Engineer,124617.0,year,$93k - $164k,$5k - $20k,$94k - $172k,$0 - $7k,,
Senior Embedded Software Engineer,121436.0,year,$95k - $157k,$2k - $18k,$96k - $166k,$1k - $26k,,
Senior Firmware Engineer,117124.0,year,$94k - $151k,$3k - $20k,$98k - $165k,$2k - $16k,,
Senior Geographic Information Systems (GIS) Analyst,72637.0,year,$57k - $97k,$1k - $15k,$57k - $101k,$0 - $2k,,
Senior Geographic Information Systems (GIS) & Remote Sensing Specialist,74000.0,year,$52k - $115k,,$54k - $81k,,,
Senior Identity and Access Management (IAM) Analyst,120000.0,year,$0 - $120k,,$64k - $158k,,,
Senior Identity and Access Management (IAM) Engineer,122449.0,year,$111k - $146k,$0 - $11k,$112k - $146k,,,
Senior Information Technology (IT) Manager,126819.0,year,$86k - $164k,$4k - $27k,$87k - $180k,$1k - $20k,,
Senior Interactive Developer,68000.0,year,$51k - $82k,$0 - $3k,$51k - $86k,,,
Senior Interactive Producer,104561.0,year,$65k - $166k,$2k - $20k,$67k - $194k,$0 - $8k,,
Senior Internet%2FCommunication Engineer,97858.0,year,$51k - $161k,$5k - $12k,$51k - $171k,,,
Senior Java Developer,114183.0,year,$84k - $149k,$2k - $20k,$86k - $158k,$101 - $59k,,
Senior Level and Layout Designer,91564.0,year,$70k - $136k,$5k - $17k,$67k - $155k,,,
"Senior Manager, Business Analytics",131497.0,year,$102k - $169k,$8k - $28k,$110k - $188k,$3k - $22k,,
Senior Mobile Developer,127832.0,year,$92k - $168k,$1k - $18k,$87k - $173k,$0 - $20k,,
Senior Mobile Engineer,127126.0,year,$103k - $157k,$5k - $12k,$104k - $164k,,,
Senior Mobile Software Engineer,108090.0,year,$90k - $125k,$0 - $7k,$92k - $137k,,,
Senior .NET Developer / Programmer,110504.0,year,$83k - $138k,$2k - $13k,$85k - $145k,$1k - $15k,$0 - $5k,
"Senior Network Administrator, IT",85334.0,year,$61k - $108k,$1k - $10k,$61k - $110k,$993 - $18k,,
Senior Operations Analyst,74026.0,year,$55k - $97k,$1k - $12k,$53k - $101k,$449 - $8k,$0 - $6k,
Senior Privacy & Security Analyst,98459.0,year,$73k - $124k,$1k - $15k,$74k - $132k,$0 - $2k,,
"Senior Program Analyst, IT",98961.0,year,$66k - $123k,$625 - $9k,$67k - $127k,,,
"Senior Program Manager, IT",142518.0,year,$107k - $176k,$5k - $31k,$112k - $194k,$2k - $28k,,
Senior Programmer Analyst,95332.0,year,$71k - $124k,$1k - $15k,$71k - $131k,$801 - $15k,,
"Senior Project Director, Software",146956.0,year,$79k - $187k,$4k - $23k,$79k - $212k,$0 - $5k,,
"Senior Project Manager, IT",119247.0,year,$88k - $155k,$3k - $22k,$92k - $169k,$1k - $18k,$979 - $20k,
Senior Quality Assurance (QA) Analyst (Computer Software),80860.0,year,$63k - $101k,$1k - $10k,$62k - $106k,$2k - $5k,,
Senior Release Engineer,110845.0,year,$94k - $140k,$1k - $23k,$99k - $150k,$0 - $5k,,
Senior SOC Analyst,96984.0,year,$59k - $117k,$0 - $10k,$59k - $118k,,,
Senior Search Engine Optimization (SEO) Expert,78639.0,year,$72k - $85k,,$71k - $153k,,,
Senior Search Engine Optimization (SEO) Manager,105450.0,year,$58k - $153k,$990 - $21k,$60k - $168k,,,
Senior Search Engine Optimization (SEO) Specialist,67331.0,year,$50k - $97k,$222 - $7k,$50k - $98k,,,
Senior Security Consultant,118524.0,year,$81k - $159k,$2k - $19k,$84k - $171k,$951 - $15k,,
Senior Software Architect,143384.0,year,$109k - $184k,$3k - $29k,$113k - $206k,$2k - $34k,,
Senior Software Development Engineer (SDE),130842.0,year,$99k - $167k,$3k - $25k,$101k - $184k,$2k - $21k,,
Senior Software Engineer,125090.0,year,$93k - $165k,$3k - $22k,$95k - $177k,$1k - $27k,$0 - $5k,
Senior Software Engineering / Development Director,170065.0,year,$134k - $207k,$12k - $41k,$149k - $218k,,,
Senior Solutions Architect,142427.0,year,$104k - $179k,$5k - $35k,$112k - $201k,$1k - $32k,$5k - $58k,
Senior Solutions Engineer,112695.0,year,$85k - $141k,$5k - $30k,$91k - $162k,$3k - $31k,$14k - $49k,
Senior Statistician,108360.0,year,$79k - $143k,$2k - $14k,$79k - $146k,$2k - $12k,,
Senior Storage Engineer,118217.0,year,$85k - $152k,$3k - $30k,$82k - $159k,$610 - $2k,,
"Senior Storage Specialist, (Computer Information Technology)",109500.0,year,$98k - $132k,$0 - $4k,$76k - $134k,,,
Senior Support Services Technician,25.0,hour,,$850 - $6k,$37k - $83k,,,$14 - $38
Senior Systems Administrator,90560.0,year,$66k - $122k,$1k - $13k,$66k - $125k,$1k - $10k,,
Taxonomy Developer,81293.0,year,$72k - $86k,$0 - $5k,$80k - $89k,$0 - $20k,,
Taxonomy Manager,66295.0,year,$59k - $113k,$0 - $13k,$59k - $123k,,,
"Team Leader, IT",92843.0,year,$55k - $142k,$1k - $20k,$42k - $147k,$850 - $14k,$3k - $8k,
Technical Architect,124592.0,year,$81k - $167k,$3k - $29k,$83k - $188k,$1k - $32k,$0 - $25k,
Technical Consultant,81787.0,year,$59k - $125k,$2k - $15k,$57k - $143k,$992 - $15k,$4k - $36k,
Technical Product & Program Manager,115572.0,year,$76k - $157k,$3k - $21k,$77k - $172k,$2k - $28k,$1k - $23k,
Technical Program Manager (TPM),130423.0,year,$87k - $172k,$5k - $26k,$90k - $187k,$2k - $36k,$0 - $10k,
Technical Project Manager,98762.0,year,$67k - $139k,$2k - $18k,$66k - $148k,$1k - $19k,$3k - $33k,
Technical Services Manager,86952.0,year,$57k - $128k,$1k - $20k,$51k - $134k,$636 - $8k,$9k - $35k,
Technical Services Representative,63659.0,year,$41k - $94k,$492 - $8k,$35k - $89k,$255 - $8k,$0 - $5k,
Technical Support Analyst,54234.0,year,$40k - $79k,$518 - $8k,$38k - $74k,$487 - $6k,$1k - $4k,
Technical Support Assistant,18.0,hour,,$972 - $5k,$28k - $70k,$0 - $700,,$13 - $28
Technical Support Consultant,60798.0,year,$43k - $87k,$1k - $6k,$36k - $88k,,,
Technical Support Director,104527.0,year,$70k - $154k,$4k - $20k,$71k - $164k,$0 - $6k,,
Technical Support Engineer,71429.0,year,$49k - $101k,$1k - $11k,$46k - $103k,$781 - $13k,$0 - $13k,
Technical Support Manager,85497.0,year,$55k - $129k,$2k - $16k,$54k - $136k,$1k - $11k,$2k - $5k,
Technical Support Representative,18.0,hour,,$571 - $5k,$30k - $60k,$147 - $4k,,$14 - $25
Technical Support Specialist,55298.0,year,$40k - $83k,$515 - $8k,$35k - $77k,$490 - $6k,$994 - $19k,
Technical Support Supervisor,64087.0,year,$47k - $93k,$1k - $9k,$42k - $94k,$405 - $22k,,
Technical Support Technician,19.0,hour,,$110 - $4k,$30k - $65k,$496 - $7k,$0 - $3k,$14 - $26
Technical and Network Specialist,56022.0,year,$45k - $125k,$983 - $5k,$35k - $112k,,,
Technology Analyst,75517.0,year,$57k - $98k,$2k - $12k,$55k - $100k,$1k - $4k,,
Technology Architect,113659.0,year,$84k - $147k,$1k - $25k,$88k - $158k,$7k - $50k,,
Technology Consulting Analyst,74711.0,year,$67k - $77k,$2k - $4k,$68k - $79k,,,
Technology Coordinator,53049.0,year,$37k - $81k,$507 - $9k,$33k - $79k,,,
Technology Director,109884.0,year,$63k - $169k,$2k - $31k,$62k - $184k,$2k - $37k,$8k - $39k,
Technology Manager,103863.0,year,$63k - $152k,$2k - $22k,$59k - $164k,$1k - $20k,,
Telecom Exchange Engineer,26.0,hour,,,$49k - $78k,,,$24 - $38
Telecommunications Analyst,68373.0,year,$47k - $100k,$979 - $10k,$40k - $100k,$0 - $6k,,
Telecommunications Engineer,82173.0,year,$59k - $122k,$981 - $18k,$58k - $124k,$2k - $10k,,
Telecommunications Manager,87356.0,year,$56k - $131k,$1k - $16k,$54k - $132k,$4k - $20k,,
Telecommunications Network Engineer,87477.0,year,$61k - $127k,$1k - $20k,$56k - $134k,$1k - $7k,,
Telecommunications Specialist,71942.0,year,$50k - $109k,$303 - $9k,$36k - $103k,$2k - $29k,$0 - $15k,
Test Analyst,68518.0,year,$47k - $90k,$496 - $7k,$38k - $87k,$1k - $4k,,
"Test Engineer, Automation",83260.0,year,$55k - $119k,$2k - $10k,$57k - $120k,$3k - $10k,,
Test Manager,109307.0,year,$68k - $152k,$2k - $27k,$67k - $164k,$2k - $13k,,
"Test / Quality Assurance (QA) Analyst, (Computer Software)",65745.0,year,$46k - $91k,$983 - $10k,$42k - $95k,$517 - $5k,,
"Test / Quality Assurance (QA) Engineer, (Computer Networking)",90125.0,year,$74k - $116k,$5k - $8k,$75k - $143k,,,
Test / Quality Assurance (QA) Engineer (Computer Software),76426.0,year,$52k - $109k,$1k - $11k,$47k - $111k,$504 - $10k,,
Trading Systems Support Specialist,107000.0,year,$0 - $107k,$0 - $8k,$64k - $132k,,,
UI Developer,82588.0,year,$60k - $130k,$1k - $11k,$60k - $139k,$152 - $20k,,
UNIX System Administrator,84540.0,year,$54k - $119k,$1k - $10k,$48k - $122k,$0 - $6k,,
Usability Specialist,82740.0,year,$58k - $103k,$2k - $8k,$60k - $104k,,,
User Interface Analyst (Software),73056.0,year,$62k - $84k,,$36k - $109k,,,
User Interface Engineer,87584.0,year,$65k - $125k,$873 - $10k,$60k - $127k,$0 - $11k,,
User Support Analyst,54263.0,year,$34k - $70k,$306 - $10k,$40k - $72k,$0 - $2k,,
User Support Specialist,59070.0,year,$36k - $80k,$824 - $5k,$35k - $76k,,,
"Vice President (VP), Ecommerce",180970.0,year,$118k - $237k,$10k - $55k,$132k - $267k,$8k - $28k,$0 - $48k,
"Vice President (VP), Engineering (Computer Software)",181863.0,year,$132k - $242k,$8k - $72k,$138k - $277k,$7k - $99k,,
"Vice President (VP), Information Systems (IS)",110867.0,year,$95k - $210k,$4k - $15k,$104k - $252k,$10k - $43k,,
"Vice President (VP), Information Technology (IT)",156307.0,year,$113k - $209k,$5k - $50k,$119k - $245k,$3k - $27k,$24k - $63k,
"Vice President (VP), Software Development",171051.0,year,$128k - $219k,$9k - $67k,$135k - $273k,$6k - $40k,,
Video Game Designer,67838.0,year,$42k - $106k,$309 - $22k,$42k - $114k,$34 - $15k,$0 - $6k,
Visual Basic Developer,72000.0,year,$0 - $72k,,$31k - $73k,,,
Visual Basic .NET Developer,52.0,hour,,,$0 - $109k,,,$0 - $53
Wafer Fabrication Operator,18.0,hour,,$500 - $3k,$31k - $49k,$0 - $6k,,$15 - $23
Web Administrator,59575.0,year,$41k - $98k,$679 - $7k,$32k - $94k,$875 - $4k,$0 - $2k,
Web Analyst,75097.0,year,$52k - $110k,$970 - $18k,$44k - $108k,$397 - $3k,,
Web Analytics Specialist,62024.0,year,$42k - $89k,$101 - $4k,$42k - $93k,,,
Web Application Developer,71259.0,year,$50k - $103k,$372 - $7k,$48k - $109k,$8 - $10k,,
Web Architect,92168.0,year,$63k - $155k,$503 - $40k,$65k - $181k,$0 - $509,,
Web Assistant,12.0,hour,,,$21k - $34k,,,$10 - $17
Web Designer & Developer,60863.0,year,$40k - $94k,$430 - $8k,$39k - $96k,$304 - $7k,$0 - $3k,
Web Developer,62951.0,year,$43k - $92k,$504 - $8k,$40k - $95k,$371 - $9k,$2k - $49k,
Web Engineer,77546.0,year,$60k - $115k,$1k - $8k,$56k - $115k,$0 - $2k,,
Web Manager,69617.0,year,$41k - $109k,$214 - $12k,$40k - $110k,$0 - $10k,,
Web Operations Manager,85216.0,year,$49k - $129k,$3k - $16k,$47k - $135k,,,
Web Operations Specialist,59892.0,year,$44k - $74k,,$46k - $67k,,,
Web Producer,67816.0,year,$44k - $107k,$493 - $10k,$37k - $109k,$1k - $6k,,
Web Producer / Manager / Coordinator,74203.0,year,$48k - $118k,$513 - $21k,$42k - $116k,$0 - $2k,,
Web Production Assistant,20.0,hour,,$0 - $350,$40k - $48k,,,$17 - $21
Web Production Manager,69948.0,year,$43k - $107k,$511 - $8k,$39k - $120k,$0 - $17k,,
Web Programmer,58268.0,year,$41k - $78k,$623 - $7k,$33k - $83k,$409 - $5k,,
Web Services Director,83354.0,year,$64k - $149k,$2k - $31k,$68k - $174k,,,
Web Services Manager,73411.0,year,$55k - $102k,,$39k - $101k,$0 - $3k,,
WebSphere Administrator,103461.0,year,$69k - $124k,$0 - $5k,$70k - $124k,,,
Webmaster,58797.0,year,$43k - $84k,$217 - $7k,$35k - $83k,$2k - $10k,$0 - $9k,
Website Manager,67607.0,year,$40k - $101k,$496 - $11k,$36k - $100k,$0 - $10k,$0 - $9k,
Website Tester,25.0,hour,,$0 - $253,$32k - $60k,,,$15 - $51
Wireless Communications Engineer,88994.0,year,$76k - $140k,$6k - $18k,$76k - $163k,$0 - $3k,,
Wireless Network Optimization Engineer,87511.0,year,$46k - $117k,$0 - $3k,$40k - $115k,,,
